Year,Site_ID,Pot_Count,Total_Spot_Count,Total_Spot_Wt_KG,Proportion_Large,Est_Wt_Large,Est_Count_LG,CPUE_All_KG,CPUE_All_LB,CPUE_All_Count,CPUE_Large_KG,CPUE_Large_LB,CPUE_Large_Count
1992,1,43,742,16.781,0.96459,16.18679,690.297551,0.390255,0.860357,17.255813,0.376436,0.829892,16.053431
1992,2,44,343,11.432,0.907424,10.373676,275,0.259818,0.572795,7.795454,0.235765,0.519768,6.25
1992,3,43,600,10.991,0.602893,6.626399,239,0.255604,0.563506,13.953488,0.154102,0.339733,5.558139
1992,4,44,769,14.38,0.567793,8.164876,290,0.326818,0.720503,17.477272,0.185565,0.409097,6.590909
1992,5,43,822,18.761,0.763353,14.321271,493,0.436302,0.961872,19.116279,0.333052,0.734248,11.465116
1992,6,44,688,12.528,0.483751,6.060443,236,0.284727,0.627709,15.636363,0.137737,0.303655,5.363636
1992,7,44,631,17.461,0.910162,15.892355,507,0.39684,0.874875,14.340909,0.361189,0.796279,11.522727
1992,8,44,414,10.628,0.866134,9.205275,302,0.241545,0.532511,9.40909,0.20921,0.461226,6.863636
1993,1,43,379,13.454,0.963295,12.96018,325,0.312883,0.689783,8.813953,0.301399,0.664465,7.558139
1993,2,43,422,12.306,0.77195,9.499621,228,0.286186,0.630925,9.813953,0.220921,0.487043,5.302325
1993,3,44,508,9.438,0.669756,6.321161,172,0.2145,0.472886,11.545454,0.143662,0.316718,3.90909
1993,4,43,521,6.29,0.314018,1.975176,59.22736,0.146279,0.322486,12.116279,0.045934,0.101266,1.37738
1993,5,44,151,4.25,0.830148,3.528129,92,0.09659,0.212944,3.431818,0.080184,0.176775,2.090909
1993,6,33,94,1.778,0.473484,0.841856,26,0.053878,0.118781,2.848484,0.02551,0.056241,0.787878
1993,7,43,194,4.186,0.638343,2.672103,61,0.097348,0.214615,4.511627,0.062141,0.136998,1.418604
1993,8,32,165,2.98,0.554469,1.652319,45,0.093125,0.205303,5.15625,0.051634,0.113834,1.40625
1994,1,44,341,7.934,0.713657,5.662155,185,0.180318,0.397529,7.75,0.128685,0.283699,4.204545
1994,2,44,503,10.668,0.580243,6.190039,201,0.242454,0.534515,11.431818,0.140682,0.310149,4.568181
1994,3,44,241,4.78,0.48099,2.299132,72,0.108636,0.239499,5.477272,0.052253,0.115196,1.636363
1994,4,44,788,9.218,0.227952,2.101261,72.98255,0.2095,0.461863,17.90909,0.047755,0.105282,1.658694
1994,5,44,413,5.122,0.235717,1.207346,39,0.116409,0.256635,9.386363,0.027439,0.060493,0.886363
1994,6,44,298,3.526,0.236582,0.834188,32,0.080136,0.176668,6.772727,0.018958,0.041796,0.727272
1994,7,43,663,9.402,0.339641,3.193305,112,0.218651,0.482038,15.418604,0.074262,0.16372,2.604651
1994,8,48,872,15.161,0.552025,8.369254,273.180476,0.315854,0.696332,18.166666,0.174359,0.384392,5.691259
1995,1,44,623,13.34,0.701126,9.353023,312,0.303181,0.668394,14.15909,0.212568,0.468628,7.090909
1995,2,44,377,8.738,0.678568,5.929329,206,0.19859,0.437813,8.568181,0.134757,0.297086,4.681818
1995,3,44,926,15.074,0.461235,6.952656,223,0.34259,0.755275,21.045454,0.158014,0.348359,5.068181
1995,4,42,775,12.148,0.403665,4.903726,195,0.289238,0.637654,18.45238,0.116755,0.257398,4.642857
1995,5,44,337,5.08,0.405903,2.06199,81,0.115454,0.254531,7.65909,0.046863,0.103315,1.840909
1995,6,44,380,5.244,0.288378,1.512258,59,0.119181,0.262748,8.636363,0.034369,0.075771,1.340909
1995,7,44,593,13.724,0.720781,9.892006,315,0.311909,0.687634,13.477272,0.224818,0.495634,7.15909
1995,8,44,1042,20.202,0.650783,13.147131,478,0.459136,1.012212,23.681818,0.298798,0.658731,10.863636
1996,1,44,531,11.544,0,0,0,0.262363,0.578406,12.068181,0,0,0
1996,2,44,317,6.72,0,0,0,0.152727,0.336702,7.204545,0,0,0
1996,3,44,823,13.116,0,0,0,0.29809,0.657171,18.704545,0,0,0
1996,4,43,729,11.684,0,0,0,0.27172,0.599035,16.953488,0,0,0
1996,5,44,468,6.816,0,0,0,0.154909,0.341512,10.636363,0,0,0
1996,6,44,811,13.674,0,0,0,0.310772,0.685129,18.431818,0,0,0
1996,7,43,207,4.412,0,0,0,0.102604,0.226202,4.813953,0,0,0
1996,8,44,732,14.662,0,0,0,0.333227,0.734632,16.636363,0,0,0
1997,1,44,364,10.046,0.893457,8.97567,301.829201,0.228318,0.50335,8.272727,0.203992,0.449721,6.859754
1997,2,42,173,4.476,0.830775,3.71855,125.726744,0.106571,0.234947,4.119047,0.088536,0.195188,2.993493
1997,3,44,535,7.858,0.311002,2.443855,77,0.17859,0.393721,12.15909,0.055542,0.122448,1.75
1997,4,42,727,10.918,0.362511,3.9579,139.845839,0.259952,0.573091,17.309523,0.094235,0.207752,3.329662
1997,5,44,461,7.314,0.438271,3.205519,105,0.166227,0.366464,10.477272,0.072852,0.160611,2.386363
1997,6,42,759,8.81,0.281892,2.483475,102.116429,0.209761,0.462441,18.071428,0.05913,0.130358,2.431343
