Year,Site_ID,Pot_Count,Total_Spot_Count,Total_Spot_Wt_KG,Proportion_Large,Est_Wt_Large,Est_Count_LG,CPUE_All_KG,CPUE_All_LB,CPUE_All_Count,CPUE_Large_KG,CPUE_Large_LB,CPUE_Large_Count
1992,1,43,742.00,16.78,0.96,16.19,690.30,0.39,0.86,17.26,0.38,0.83,16.05
1992,2,44,343.00,11.43,0.91,10.37,275.00,0.26,0.57,7.80,0.24,0.52,6.25
1992,3,43,600.00,10.99,0.60,6.63,239.00,0.26,0.56,13.95,0.15,0.34,5.56
1992,4,44,769.00,14.38,0.57,8.16,290.00,0.33,0.72,17.48,0.19,0.41,6.59
1992,5,43,822.00,18.76,0.76,14.32,493.00,0.44,0.96,19.12,0.33,0.73,11.47
1992,6,44,688.00,12.53,0.48,6.06,236.00,0.28,0.63,15.64,0.14,0.30,5.36
1992,7,44,631.00,17.46,0.91,15.89,507.00,0.40,0.87,14.34,0.36,0.80,11.52
1992,8,44,414.00,10.63,0.87,9.21,302.00,0.24,0.53,9.41,0.21,0.46,6.86
1993,1,43,379.00,13.45,0.96,12.96,325.00,0.31,0.69,8.81,0.30,0.66,7.56
1993,2,43,422.00,12.31,0.77,9.50,228.00,0.29,0.63,9.81,0.22,0.49,5.30
1993,3,44,508.00,9.44,0.67,6.32,172.00,0.21,0.47,11.55,0.14,0.32,3.91
1993,4,43,521.00,6.29,0.31,1.98,59.23,0.15,0.32,12.12,0.05,0.10,1.38
1993,5,44,151.00,4.25,0.83,3.53,92.00,0.10,0.21,3.43,0.08,0.18,2.09
1993,6,33,94.00,1.78,0.47,0.84,26.00,0.05,0.12,2.85,0.03,0.06,0.79
1993,7,43,194.00,4.19,0.64,2.67,61.00,0.10,0.21,4.51,0.06,0.14,1.42
1993,8,32,165.00,2.98,0.55,1.65,45.00,0.09,0.21,5.16,0.05,0.11,1.41
1994,1,44,341.00,7.93,0.71,5.66,185.00,0.18,0.40,7.75,0.13,0.28,4.20
1994,2,44,503.00,10.67,0.58,6.19,201.00,0.24,0.53,11.43,0.14,0.31,4.57
1994,3,44,241.00,4.78,0.48,2.30,72.00,0.11,0.24,5.48,0.05,0.12,1.64
1994,4,44,788.00,9.22,0.23,2.10,72.98,0.21,0.46,17.91,0.05,0.11,1.66
1994,5,44,413.00,5.12,0.24,1.21,39.00,0.12,0.26,9.39,0.03,0.06,0.89
1994,6,44,298.00,3.53,0.24,0.83,32.00,0.08,0.18,6.77,0.02,0.04,0.73
