year,spots_com,tot_com,spots_nc,tot_nc,tot,Source,Comments
1960,NA,4988,,,4988,"Wessel et al 2015, Apx A. ",
1961,NA,NA,,,0,"Wessel et al 2015, Apx A. ",
1962,NA,3576,,,3576,"Wessel et al 2015, Apx A. ",
1963,NA,1101,,,1101,"Wessel et al 2015, Apx A. ",
1964,NA,4248,,,4248,"Wessel et al 2015, Apx A. ",
1965,NA,4356,,,4356,"Wessel et al 2015, Apx A. ",
1966,NA,NA,,,0,"Wessel et al 2015, Apx A. ",
1967,NA,749,,,749,"Wessel et al 2015, Apx A. ",
1968,NA,6866,,,6866,"Wessel et al 2015, Apx A. ",
1969,NA,5146,,,5146,"Wessel et al 2015, Apx A. ",
1970,NA,19776,,,19776,"Wessel et al 2015, Apx A. ",
1971,NA,13073,,,13073,"Wessel et al 2015, Apx A. ",
1972,NA,6979,,,6979,"Wessel et al 2015, Apx A. ",
1973,NA,6370,,,6370,"Wessel et al 2015, Apx A. ",
1974,NA,24978,,,24978,"Wessel et al 2015, Apx A. ",
1975,NA,4150,,,4150,"Wessel et al 2015, Apx A. ",
1976,NA,2410,,,2410,"Wessel et al 2015, Apx A. ",
1977,NA,7516,,,7516,"Wessel et al 2015, Apx A. ",
1978,NA,15466,,,15466,"Wessel et al 2015, Apx A. ",
1979,NA,52208,,,52208,"Wessel et al 2015, Apx A. ",
1980,84787,90028,,,90028,"Wessel et al 2015, Apx A. ",
1981,153017,173537,,,173537,"Wessel et al 2015, Apx A. ",
1982,205746,213781,,,213781,"Wessel et al 2015, Apx A. ",
1983,198719,213420,,,213420,"Wessel et al 2015, Apx A. ",
1984,198729,207280,,,207280,"Wessel et al 2015, Apx A. ",
1985,271928,276707,,,276707,"Wessel et al 2015, Apx A. ",
1986,286105,290632,,,290632,"Wessel et al 2015, Apx A. ",
1987,265707,269653,,,269653,"Wessel et al 2015, Apx A. ",
1988,191630,192442,,,192442,"Wessel et al 2015, Apx A. ",
1989,28884,29315,,,29315,"Wessel et al 2015, Apx A. ",
1990,36378,36737,,,36737,"Wessel et al 2015, Apx A. ",
1991,17302,17580,,,17580,"Wessel et al 2015, Apx A. ",
1992,0,0,,,0,"Wessel et al 2015, Apx A. ",
1993,0,0,,,0,"Wessel et al 2015, Apx A. ",
1994,0,0,,,0,"Wessel et al 2015, Apx A. ",
1995,0,0,,,0,"Wessel et al 2015, Apx A. ",
1996,0,0,,,0,"Wessel et al 2015, Apx A. ",
1997,0,0,,,0,"Wessel et al 2015, Apx A. ",
1998,0,0,,,0,"Wessel et al 2015, Apx A. ",
1999,0,0,,,0,"Wessel et al 2015, Apx A. ",
2000,0,0,,,0,"Wessel et al 2015, Apx A. ",
2001,0,0,,,0,"Wessel et al 2015, Apx A. ",
2002,0,0,15054,,15054,"Wessel et al 2015, Apx A. ; Table 5",
2003,0,0,22635,,22635,"Wessel et al 2015, Apx A. ; Table 5",
2004,0,0,41645,,41645,"Wessel et al 2015, Apx A. ; Table 5",
2005,0,0,51785,,51785,"Wessel et al 2015, Apx A. ; Table 5",
2006,0,0,,,0,"Wessel et al 2015, Apx A. ; Table 5",
2007,0,0,,,0,"Wessel et al 2015, Apx A. ; Table 5",
2008,0,0,,,0,"Wessel et al 2015, Apx A. ; Table 5",
2009,0,0,90961,,90961,"Wessel et al 2015, Apx A. ; Table 5",
2010,,45349,142146,142146,187495,"Wessel et al 2015, Table 1.; Table 5",  
2011,,52694,95924,95924,148618,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2012,,21561,90385,90385,111946,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2013,,61644,85988,85988,147632,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2014,,68464,89155,89155,157619,"Wessel et al 2015, Table 1.; Table 5",These values labeled total shrimp in one table and spot shrimp in other
2015,,23137,,,23137,K:\MANAGEMENT\SHELLFISH\PWS Shrimp All.xlsx,
2016,,48423,,,48423,K:\MANAGEMENT\SHELLFISH\PWS Shrimp All.xlsx,
2017,,67638,,,67638,K:\MANAGEMENT\SHELLFISH\PWS Shrimp All.xlsx,
