Year,Pot_Count,Total_Spot_Count,Total_Spot_Wt_KG,Prop_Lg_by_Wt,AvgOfProp_Lg_by_Ct,Est_Wt_Large,Est_Ct_LG,CPUE_All_KG,CPUE_All_LB,CPUE_All_Count,CPUE_Large_KG,CPUE_Large_LB,CPUE_Large_Count
1992,349,5009,112.96,0.76,0.62,86.83,3032.30,0.32,0.71,14.35,0.25,0.55,8.69
1993,325,2434,54.68,0.65,0.42,39.45,1008.23,0.17,0.37,7.49,0.12,0.27,3.10
1994,355,4128,65.91,0.42,0.25,29.91,989.98,0.19,0.41,11.63,0.08,0.19,2.79
1995,350,5053,93.55,0.54,0.37,53.75,1869.00,0.27,0.59,14.44,0.15,0.34,5.34
1996,350,4618,82.63,,,,,0.24,0.52,13.19,,,
1997,345,3835,64.62,0.54,0.38,33.24,1117.42,0.19,0.41,11.12,0.10,0.21,3.24
1998,264,2252,34.69,0.55,0.35,17.32,571.00,0.13,0.29,8.53,0.07,0.14,2.16
1999,346,4392,74.62,0.45,0.25,34.66,1088.08,0.22,0.48,12.69,0.10,0.22,3.14
2000,349,6545,111.29,0.54,0.34,61.96,2182.00,0.32,0.70,18.75,0.18,0.39,6.25
2001,351,7034,150.07,0.63,0.48,102.08,3456.00,0.43,0.94,20.04,0.29,0.64,9.85
2002,304,8797,170.87,0.65,0.39,112.21,3270.33,0.56,1.24,28.94,0.37,0.81,10.76
2003,352,9333,180.42,0.64,0.42,125.82,4132.00,0.51,1.13,26.51,0.36,0.79,11.74
2004,352,12593,227.91,0.54,0.32,133.22,4161.00,0.65,1.43,35.78,0.38,0.83,11.82
2005,349,14453,218.19,0.44,0.25,98.94,3525.24,0.63,1.38,41.41,0.28,0.63,10.10
2006,346,14203,250.61,0.49,0.32,130.70,4478.96,0.72,1.60,41.05,0.38,0.83,12.94
2007,349,24152,379.91,0.47,0.30,167.41,6034.11,1.09,2.40,69.20,0.48,1.06,17.29
2008,348,23004,404.88,0.40,0.28,173.42,6085.82,1.16,2.56,66.10,0.50,1.10,17.49
2009,351,17622,374.04,0.62,0.48,234.96,7873.90,1.07,2.35,50.21,0.67,1.48,22.43
2010,350,8585,216.99,0.80,0.68,176.40,5944.32,0.62,1.37,24.53,0.50,1.11,16.98
2011,350,11627,311.44,0.75,0.56,267.58,8003.66,0.89,1.96,33.22,0.76,1.69,22.87
2012,392,15928,378.25,0.66,0.49,283.80,8279.70,0.96,2.13,40.63,0.72,1.60,21.12
2013,392,14453,337.58,0.71,0.55,243.32,7176.01,0.86,1.90,36.87,0.62,1.37,18.31
2014,393,16051,341.31,0.73,0.58,249.01,8206.70,0.87,1.91,40.84,0.63,1.40,20.88
2015,395,14118,285.38,0.68,0.48,181.60,5249.12,0.72,1.59,35.74,0.46,1.01,13.29
2016,359,19821,447.39,0.70,0.49,322.56,9199.19,1.25,2.75,55.21,0.90,1.98,25.62
2017,359,37722,640.79,0.50,0.26,312.64,8640.51,1.78,3.94,105.08,0.87,1.92,24.07
2018,392,40894,678.18,0.51,0.34,335.36,11373.68,1.73,3.81,104.32,0.86,1.89,29.01
