"","Year","476006","476007","476033","476035","476036","486001","486005","486031","486034"
"1",1992,1.68,0.63,NA,NA,0.86,0.53,0.87,0.56,0.57
"2",1993,0.53,0.12,NA,NA,0.69,0.21,0.21,0.47,0.63
"3",1994,0.72,0.18,NA,NA,0.4,0.7,0.48,0.24,0.53
"4",1995,0.89,0.26,NA,NA,0.67,1.01,0.69,0.76,0.44
"5",1996,0.94,0.69,NA,NA,0.58,0.73,0.23,0.66,0.34
"6",1997,0.95,0.47,NA,NA,0.5,0.55,0.21,0.39,0.23
"7",1998,0.75,NA,NA,NA,0.22,NA,0.26,0.37,0.14
"8",1999,0.97,0.27,NA,NA,0.23,0.22,0.62,0.9,0.58
"9",2000,1.06,0.65,NA,NA,0.4,0.54,1.29,0.78,0.92
"10",2001,1.07,0.93,NA,NA,1.14,0.69,0.75,1,1.96
"11",2002,2.12,NA,NA,NA,0.77,0.46,0.91,1.47,2.94
"12",2003,1.39,1.01,NA,NA,0.61,0.51,1.31,1.23,2.97
"13",2004,1.93,0.6,NA,NA,3.12,0.48,1.45,0.57,3.27
"14",2005,1.76,0.78,NA,NA,1.66,0.33,1.91,1.06,3.47
"15",2006,1.64,0.44,NA,NA,2.93,0.82,2.21,1.3,3.4
"16",2007,3.36,0.45,NA,NA,3.58,1.46,2.67,1.83,5.92
"17",2008,3.66,0.46,NA,NA,3.46,1.7,4.15,1.66,5.28
"18",2009,2.36,NA,NA,0.62,4.9,1.26,3.17,1.74,4.7
"19",2010,1.05,NA,NA,0.87,2.88,0.41,1.66,1.2,2.84
"20",2011,1.11,NA,NA,1.07,6.34,0.26,1.48,1.24,4.27
"21",2012,2.96,NA,1.54,0.54,6.74,0.89,1.47,1.77,3.19
"22",2013,2.25,NA,0.79,0.33,4.29,1.44,1.79,1.94,4.31
"23",2014,2.09,NA,1.33,0.43,4.16,0.72,1.89,2.47,4.14
"24",2015,2.9,NA,2.13,0.55,2.83,0.37,0.63,1.8,3.14
"25",2016,3.13,NA,3.24,0.88,6.01,1.11,1.46,3.73,5.19
