"","Year","n_m","n_f","cl_m","cl_f","se_m","se_f"
"1",1992,4221,563,31.975316275764,42.0995914742451,0.0738766448280152,0.104189737954552
"2",1993,1960,472,27.9849591836735,42.5887288135593,0.136028076439227,0.096687374018977
"3",1994,3868,201,27.5322543950362,43.4066169154229,0.0720528023422403,0.156642834497989
"4",1995,4831,217,29.1716352722004,43.4615207373272,0.0719793563085026,0.175520463108207
"5",1997,3584,224,28.0438030133929,42.2305357142857,0.0813020468868083,0.148858789784177
"6",1998,2130,121,27.7276666666667,43.9495041322314,0.105728496461492,0.228523734269579
"7",1999,3703,224,28.0370607615447,43.0983928571429,0.0746103767877028,0.158072983187719
"8",2000,6224,318,28.5521883033419,43.8174213836478,0.0630423941222995,0.155837674158108
"9",2001,6520,513,30.7851886503067,43.8171929824561,0.0584574934012631,0.114369020702584
"10",2002,7825,776,28.4938249201278,44.1465850515464,0.0646369794662094,0.0881391696114624
"11",2003,8555,748,29.4763179427236,45.4369518716578,0.0628730147959214,0.0886993609616346
"12",2004,11525,1068,28.7325665943601,44.4189513108614,0.0477451724755692,0.0958470954498724
"13",2005,7071,737,28.1464997878659,43.6978697421981,0.0549369769068788,0.129785183455452
"14",2006,1085,99,28.114617046083,41.0534339090909,0.165046474816842,0.342640798367182
"15",2007,2098,129,28.1836697111535,41.3516274806202,0.0888532069116759,0.27537861745113
"16",2008,2215,157,29.2280898090293,41.3787892420382,0.0760436585067242,0.255107459324609
"17",2009,1513,242,30.435326677462,41.5653714173554,0.0989532940853098,0.192106945487706
"18",2010,826,184,32.3604358353511,41.4559782608696,0.155386160324234,0.225221942746894
"19",2011,957,322,31.5215569487983,41.8434472049689,0.19952657999141,0.170558268070608
"20",2012,1386,250,29.9427051551227,42.625399428,0.148390558168907,0.162763101935673
"21",2013,1161,194,29.8671140585702,43.8553087525773,0.148708843153856,0.203153392192249
"22",2014,1300,158,30.1885076923077,44.6442405063291,0.133028175484757,0.309195173310925
"23",2015,1300,118,29.0606153846154,44.8283050847458,0.15504741461985,0.301669825379693
"24",2016,3337,509,29.2141714114474,44.6701768172888,0.0865923169331172,0.129165853067006
