"","YEAR","476006","476007","476033","476035","476036","486001","486005","486031","486034"
"1",1992,97.14,96.3,NA,NA,93.42,100,99.01,100,97.48
"2",1993,100,87.5,NA,NA,96.58,100,91.43,97.01,100
"3",1994,85.19,85.71,NA,NA,100,93.22,100,100,100
"4",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1998,100,NA,NA,NA,100,NA,100,100,95.65
"7",1999,97.1,100,NA,NA,100,100,100,97.06,94.44
"8",2000,94.59,93.48,NA,NA,100,100,96.97,100,97.5
"9",2001,100,100,NA,NA,98.08,100,100,100,100
"10",2002,96.58,NA,NA,NA,95.24,98.18,100,97.67,100
"11",2003,98.59,100,NA,NA,100,100,99.16,100,100
"12",2004,96.84,93.94,NA,NA,98.03,100,96.62,90,98.2
"13",2005,96.88,91.3,NA,NA,92.94,100,95.93,94.44,98.4
"14",2006,NA,100,NA,NA,90.91,100,100,50,100
"15",2007,80,100,NA,NA,77.27,50,100,100,94.44
"16",2008,77.78,NA,NA,NA,78.69,NA,87.1,100,80.39
"17",2009,93.1,NA,NA,75,89.29,66.67,82.14,93.33,88.89
"18",2010,94.59,NA,NA,100,83.33,88.89,95.65,92.11,100
"19",2011,100,NA,NA,100,98.39,100,100,95,100
"20",2012,87.5,NA,100,100,84.52,96.15,90.48,87.5,96.05
"21",2013,100,NA,100,50,69.7,100,95.45,100,100
"22",2014,100,NA,77.78,88.89,98.41,33.33,80,100,100
"23",2015,100,NA,100,100,96.77,100,100,92.86,100
"24",2016,100,NA,100,100,100,100,100,98.97,98.67
