"","YEAR","466100","476006","476007","476033","476035","476036","486001","486005","486031","486034","surveyWide"
"1",1992,NA,97.14,96.3,NA,NA,93.42,100,99.01,100,97.48,96.79
"2",1993,NA,100,87.5,NA,NA,96.58,100,91.43,97.01,100,97.67
"3",1994,NA,85.19,85.71,NA,NA,100,93.22,100,100,100,95.52
"4",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1998,NA,100,NA,NA,NA,100,NA,100,100,95.65,99.17
"7",1999,NA,97.1,100,NA,NA,100,100,100,97.06,94.44,97.77
"8",2000,NA,94.59,93.48,NA,NA,100,100,96.97,100,97.5,97.16
"9",2001,NA,100,100,NA,NA,98.08,100,100,100,100,99.6
"10",2002,NA,96.58,NA,NA,NA,95.24,98.18,100,97.67,100,98.45
"11",2003,NA,98.59,100,NA,NA,100,100,99.16,100,100,99.73
"12",2004,NA,96.84,93.94,NA,NA,98.03,100,96.62,90,98.2,97.28
"13",2005,NA,96.88,91.3,NA,NA,92.94,100,95.93,94.44,98.4,94.97
"14",2006,NA,100,100,NA,NA,90.91,100,100,50,100,91.67
"15",2007,NA,80,100,NA,NA,77.27,50,100,100,94.44,83.72
"16",2008,NA,77.78,NA,NA,NA,78.69,NA,87.1,100,80.39,81.41
"17",2009,NA,93.1,NA,NA,75,89.29,66.67,82.14,93.33,88.89,88.02
"18",2010,NA,94.59,NA,NA,100,83.33,88.89,95.65,92.11,100,93.48
"19",2011,NA,100,NA,NA,100,98.39,100,100,95,100,99.07
"20",2012,NA,87.5,NA,100,100,84.52,96.15,90.48,87.5,96.05,90.8
"21",2013,94.44,100,NA,100,50,69.7,100,95.45,100,100,87.11
"22",2014,88.89,100,NA,77.78,88.89,98.41,33.33,80,100,100,93.1
"23",2015,100,100,NA,100,100,96.77,100,100,92.86,100,98.31
"24",2016,NA,100,NA,100,100,100,100,100,98.97,98.67,99.6
"25",2017,100,97.78,NA,100,100,95.93,100,100,100,100,98.58
