"","year","area","cpue_lrg","cpue_all","df","t","se_lrg","se_all","cv_all","ci_lrg","ci_all","peX15_lrg","peX15_all","metGoal_lrg","metGoal_all"
"1",1992,1,0.829900487669767,0.86036577255814,42,2.01808170281844,0.0191141798509361,0.0191141798509361,66.7110335212576,0.0385739766215551,0.0385739766215551,0.124485073150465,0.129054865883721,"YES","YES"
"2",1992,2,0.423504994455114,0.619363586717557,130,1.97838040544701,0.00534561826059066,0.00534561826059066,62.3746430650233,0.0105756664217523,0.0105756664217523,0.0635257491682671,0.0929045380076335,"YES","YES"
"3",1992,3,0.663387003989466,0.788446160305343,174,1.97369143975607,0.00713553237423616,0.00713553237423616,67.9915934375753,0.0140833391651322,0.0140833391651322,0.0995080505984199,0.118266924045801,"YES","YES"
"4",1993,1,0.664471442595349,0.689789708837209,42,2.01808170281844,0.0146366513578842,0.0146366513578842,63.7722293131507,0.0295379582958789,0.0295379582958789,0.0996707163893023,0.103468456325581,"YES","YES"
"5",1993,2,0.301794807122769,0.475417823692308,128,1.97867084983782,0.00481530074791997,0.00481530074791997,75.0696786161658,0.0095278952231115,0.0095278952231115,0.0452692210684153,0.0713126735538462,"YES","YES"
"6",1993,3,0.145478075509412,0.211495310252101,151,1.97579892381793,0.00239119066973686,0.00239119066973686,87.2658160376427,0.00472451195190958,0.00472451195190958,0.0218217113264118,0.0317242965378151,"YES","YES"
"7",1994,1,0.283702276275,0.39753307,43,2.01669219922782,0.0073537435358222,0.0073537435358222,76.5816832723037,0.0148302372238147,0.0148302372238147,0.04255534144125,0.0596299605,"YES","YES"
"8",1994,2,0.17687786512,0.41196331,129,1.97852449147925,0.00289125651011825,0.00289125651011825,73.2630543818079,0.00572042181641776,0.00572042181641776,0.026531679768,0.0617944965,"YES","YES"
"9",1994,3,0.208539170082222,0.484771442222222,178,1.97338088854882,0.00329881706755783,0.00329881706755783,87.6894382283967,0.00650982255593728,0.00650982255593728,0.0312808755123333,0.0727157163333333,"YES","YES"
"10",1995,1,0.468633217415,0.6684007,43,2.01669219922782,0.00958434813158807,0.00958434813158807,60.2845801064285,0.0193286801116574,0.0193286801116574,0.07029498261225,0.100260105,"YES","YES"
"11",1995,2,0.301621032190923,0.609831809230769,129,1.97852449147925,0.00325437985623852,0.00325437985623852,58.471302817544,0.00643887025014462,0.00643887025014462,0.0452431548286385,0.0914747713846153,"YES","YES"
"12",1995,3,0.419230656111667,0.65146521,175,1.97361246195438,0.00449507362437916,0.00449507362437916,70.9903775082269,0.00887153332247716,0.00887153332247716,0.0628845984167501,0.0977197815,"YES","YES"
"13",1996,1,0,0.57841212,1,12.7062047361747,0,0,82.5372522611483,0,0,0,0.086761818,"NO","YES"
