"","year","cpue_lrg","cpue_all","df","t","se_lrg","se_all","cv_all","ci_lrg","ci_all","peX15_lrg","peX15_all","metGoal_lrg","metGoal_all"
"1",1992,0.55,0.71,348,1.96680422304826,0.00473015407967276,0.00473015407967276,69.3145912581662,0.00930328701956936,0.00930328701956936,0.0825,0.1065,"YES","YES"
"2",1993,0.27,0.37,323,1.96733560733053,0.00295140988485532,0.00295140988485532,88.2596416824007,0.00580641375830315,0.00580641375830315,0.0405,0.0555,"YES","YES"
"3",1994,0.19,0.41,352,1.96672622987082,0.00218018718453787,0.00218018718453787,89.8935949949504,0.00428783132185884,0.00428783132185884,0.0285,0.0615,"YES","YES"
"4",1995,0.34,0.59,349,1.96678455657484,0.00283234883994718,0.00283234883994718,70.8953327073359,0.00557061995724078,0.00557061995724078,0.051,0.0885,"YES","YES"
"5",1996,NA,0.52,NA,NA,NA,NA,78.233045260631,NA,NA,NA,0.078,NA,NA
"6",1997,0.21,0.41,341,1.96694512932722,0.00264966921175344,0.00264966921175344,91.6007716163187,0.00521175395038671,0.00521175395038671,0.0315,0.0615,"YES","YES"
"7",1998,0.14,0.29,263,1.96902497390328,0.00175076721656334,0.00175076721656334,95.1586023146393,0.00344730437290435,0.00344730437290435,0.021,0.0435,"YES","YES"
"8",1999,0.22,0.48,331,1.96715679961087,0.00425328164639757,0.00425328164639757,88.1590840530909,0.00836687191137107,0.00836687191137107,0.033,0.072,"YES","YES"
"9",2000,0.39,0.7,348,1.96680422304826,0.00361695988652236,0.00361695988652236,77.9860944289493,0.00711385197940835,0.00711385197940835,0.0585,0.105,"YES","YES"
"10",2001,0.64,0.94,349,1.96678455657484,0.00472251179337397,0.00472251179337397,68.2179469415386,0.00928816326345048,0.00928816326345048,0.096,0.141,"YES","YES"
"11",2002,0.81,1.24,297,1.96798352537622,0.00611357798033512,0.00611357798033512,70.9492249207889,0.0120314207464023,0.0120314207464023,0.1215,0.186,"YES","YES"
"12",2003,0.79,1.13,351,1.96674556094765,0.00654888734572168,0.00654888734572168,80.181296920584,0.0128799951163444,0.0128799951163444,0.1185,0.1695,"YES","YES"
"13",2004,0.83,1.43,351,1.96674556094765,0.00538301583122095,0.00538301583122095,73.1322571275163,0.0105870224905647,0.0105870224905647,0.1245,0.2145,"YES","YES"
"14",2005,0.63,1.38,348,1.96680422304826,0.00430252772909518,0.00430252772909518,68.6475167145949,0.00846222970736666,0.00846222970736666,0.0945,0.207,"YES","YES"
"15",2006,0.83,1.6,31,2.03951344639641,0.0540420283826969,0.0540420283826969,65.3757742163661,0.110219443557047,0.110219443557047,0.1245,0.24,"YES","YES"
"16",2007,1.06,2.4,31,2.03951344639641,0.0716738428327104,0.0716738428327104,59.9152043599228,0.146179766212216,0.146179766212216,0.159,0.36,"YES","YES"
"17",2008,1.1,2.56,31,2.03951344639641,0.0451223796156685,0.0451223796156685,62.8568560812984,0.0920276999595592,0.0920276999595592,0.165,0.384,"YES","YES"
"18",2009,1.48,2.35,31,2.03951344639641,0.069954619250621,0.069954619250621,61.5815903897808,0.142673386599183,0.142673386599183,0.222,0.3525,"YES","YES"
"19",2010,1.11,1.37,31,2.03951344639641,0.0383256912759393,0.0383256912759393,72.2589799777655,0.0781657626997156,0.0781657626997156,0.1665,0.2055,"YES","YES"
"20",2011,1.69,1.96,29,2.0452296421327,0.0633203346013404,0.0633203346013404,84.4971651649335,0.129504625276422,0.129504625276422,0.2535,0.294,"YES","YES"
"21",2012,1.6,2.13,49,2.00957523712924,0.0356229830199068,0.0356229830199068,71.6186307304102,0.07158706454948,0.07158706454948,0.24,0.3195,"YES","YES"
"22",2013,1.37,1.9,35,2.03010792825034,0.0294347141461166,0.0294347141461166,65.9591839027078,0.0597556465538138,0.0597556465538138,0.2055,0.285,"YES","YES"
"23",2014,1.4,1.91,35,2.03010792825034,0.0466143723226886,0.0466143723226886,65.7953419634827,0.0946322068227036,0.0946322068227036,0.21,0.2865,"YES","YES"
"24",2015,1.01,1.59,35,2.03010792825034,0.0403282877953892,0.0403282877953892,67.3910852580518,0.0818707767861812,0.0818707767861812,0.1515,0.2385,"YES","YES"
"25",2016,1.98,2.75,71,1.99394336784563,0.0583200733789089,0.0583200733789089,64.6152484935947,0.116286923526146,0.116286923526146,0.297,0.4125,"YES","YES"
"26",2017,1.92,3.94,69,1.99494541510724,0.118736951206425,0.118736951206425,54.7291042405842,0.236873736413069,0.236873736413069,0.288,0.591,"YES","YES"
