"","year","cpue_lrg","cpue_all","df","t","se_lrg","se_all","cv_all","ci_lrg","ci_all","peX15_lrg","peX15_all","metGoal_lrg","metGoal_all"
"1",1992,0.583826,0.725956,304,1.96779814071704,0.00529213930776747,0.00529213930776747,68.1288322398343,0.0104138618902404,0.0104138618902404,0.0875739,0.1088934,"YES","YES"
"2",1993,0.291495,0.399425,290,1.96817789640221,0.00327649600817276,0.00327649600817276,84.5337890922287,0.00644872702093571,0.00644872702093571,0.04372425,0.05991375,"YES","YES"
"3",1994,0.205733,0.441522,308,1.96769600461661,0.00177734669898674,0.00177734669898674,71.9673133379268,0.00349727799841472,0.00349727799841472,0.03085995,0.0662283,"YES","YES"
"4",1995,0.376366,0.636207,305,1.96777235455677,0.00323239761952326,0.00323239761952326,68.3106864237866,0.00636062267463297,0.00636062267463297,0.0564549,0.09543105,"YES","YES"
"5",1996,NA,0.496784,45,2.01410338888085,0,0,83.7067537907727,0,0,NA,0.0745176,NA,"YES"
"6",1997,0.22277,0.402852,299,1.96792966906567,0.00297495469456199,0.00297495469456199,93.7063859874579,0.00585450160755475,0.00585450160755475,0.0334155,0.0604278,"YES","YES"
"7",1998,0.144628,0.289696,263,1.96902497390328,0.00175076721656334,0.00175076721656334,95.2584594583474,0.00344730437290435,0.00344730437290435,0.0216942,0.0434544,"YES","YES"
"8",1999,0.241787,0.505122,288,1.96823517361478,0.00485190568340643,0.00485190568340643,87.2986201204128,0.00954969142514202,0.00954969142514202,0.03626805,0.0757683,"YES","YES"
"9",2000,0.408351,0.710878,304,1.96779814071704,0.00402656233829868,0.00402656233829868,78.4203526435854,0.00792346188278541,0.00792346188278541,0.06125265,0.1066317,"YES","YES"
"10",2001,0.689178,0.944516,305,1.96777235455677,0.00530998445663347,0.00530998445663347,68.366655426823,0.0104488406168895,0.0104488406168895,0.1033767,0.1416774,"YES","YES"
"11",2002,0.813654,1.239014,297,1.96798352537622,0.00611357798033512,0.00611357798033512,71.0056858936043,0.0120314207464023,0.0120314207464023,0.1220481,0.1858521,"YES","YES"
"12",2003,0.833367,1.147243,307,1.96772128815549,0.00740440281738943,0.00740440281738943,82.5229307949001,0.0145698010498557,0.0145698010498557,0.12500505,0.17208645,"YES","YES"
"13",2004,0.923113,1.545388,307,1.96772128815549,0.00612491165891589,0.00612491165891589,70.4243533634662,0.0120521190593206,0.0120521190593206,0.13846695,0.2318082,"YES","YES"
"14",2005,0.67589,1.462377,305,1.96777235455677,0.00482491753726982,0.00482491753726982,66.9049757110137,0.00949433934285568,0.00949433934285568,0.1013835,0.21935655,"YES","YES"
"15",2006,0.895963,1.744643,27,2.05183051648029,0.0609680153828386,0.0609680153828386,61.0720998932947,0.125096034491748,0.125096034491748,0.13439445,0.26169645,"YES","YES"
"16",2007,1.165033,2.67405,27,2.05183051648029,0.081423934726641,0.081423934726641,53.6969808634429,0.167068114044021,0.167068114044021,0.17475495,0.4011075,"YES","YES"
"17",2008,1.215909,2.846366,27,2.05183051648029,0.0499001090630251,0.0499001090630251,56.8524194762674,0.102386566551209,0.102386566551209,0.18238635,0.4269549,"YES","YES"
"18",2009,1.595572,2.591047,27,2.05183051648029,0.0796885695236091,0.0796885695236091,56.4599009340827,0.163507438763202,0.163507438763202,0.2393358,0.38865705,"YES","YES"
"19",2010,1.145781,1.43822,27,2.05183051648029,0.0437508520480758,0.0437508520480758,71.5160331478623,0.0897693333542558,0.0897693333542558,0.17186715,0.215733,"YES","YES"
"20",2011,1.764283,2.079096,25,2.0595385527533,0.0723563465219398,0.0723563465219398,83.5896615241361,0.149020685198312,0.149020685198312,0.26464245,0.3118644,"YES","YES"
"21",2012,1.853835,2.441159,41,2.01954097044138,0.0437167417168835,0.0437167417168835,66.6500571007303,0.0882877509914499,0.0882877509914499,0.27807525,0.36617385,"YES","YES"
"22",2013,1.647728,2.280062,27,2.05183051648029,0.034923550971092,0.034923550971092,56.3893107407302,0.0716572076263414,0.0716572076263414,0.2471592,0.3420093,"YES","YES"
"23",2014,1.6253,2.209556,27,2.05183051648029,0.0583249058179237,0.0583249058179237,59.5877155835584,0.119672821628054,0.119672821628054,0.243795,0.3314334,"YES","YES"
"24",2015,1.078052,1.665298,27,2.05183051648029,0.0385653263323109,0.0385653263323109,65.9765051023007,0.0791295134466563,0.0791295134466563,0.1617078,0.2497947,"YES","YES"
"25",2016,2.082855,3.121083,55,2.00404478328915,0.067715576821165,0.067715576821165,58.1824042343052,0.135705048475871,0.135705048475871,0.31242825,0.46816245,"YES","YES"
"26",2017,1.901575,4.683268,53,2.00574599531787,0.142979920248148,0.142979920248148,48.4564894910093,0.286781402448592,0.286781402448592,0.28523625,0.7024902,"NO","YES"
